Pathways	Ontology - direct parents of entity	Ontology - pathway type
PWY-6820	LIGNAN-SYN	AROMATIC-COMPOUNDS-BIOSYN
PWY-7594	Gamma-linolenate-Biosynthesis	Lipid-Biosynthesis
PWY-7526	ALKALOIDS-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6603	Acetlylenic-Fatty-Acid-Biosynthesis // Metabolic-Clusters // PUFA-Biosynthesis	Metabolic-Clusters // Lipid-Biosynthesis
PWY-6813	Glycan-Pathways // POLYSACCHARIDES-DEG	Glycan-Pathways // Polymer-Degradation // Carbohydrates-Degradation
PWY-7929	Halogenated-Aromatics-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN
PWY-8400	Icosanoid-Metabolism	Lipid-Biosynthesis
PWY-7411	Phospholipid-Biosynthesis	Lipid-Biosynthesis
PWY-5785	Lipid-Anchor-Biosynthesis // Polyprenyl-Biosynthesis	Cofactor-Biosynthesis // Polyprenyl-Biosynthesis
GLUDEG-II-PWY	Acetyl-CoA-Butyrate // GLUTAMATE-DEG // Super-Pathways	Energy-Metabolism // Amino-Acid-Degradation // Super-Pathways
PWY-7909	Formaldehyde-Oxidation	C1-COMPOUNDS
PWY-7592	Arachidonate-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Super-Pathways
PWY-7917	Pigment-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7837	Protein-Glycosylation	Carbohydrates-Biosynthesis // Protein-Modification // Glycan-Pathways
PWY-5024	ARGININE-DEG	Amino-Acid-Degradation
PWY-7703	TOLUENE-DEG	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5525	D-Glucuronate-Degradation	CARBOXYLATES-DEG // Carbohydrates-Degradation
PWY-7013	Alcohol-Degradation // Fermentation-to-propanoate	Energy-Metabolism // Alcohol-Degradation
THISYNARA-PWY	Super-Pathways // Thiamine-Biosynthesis	Cofactor-Biosynthesis // Super-Pathways
PWY-7893	Protein-Modification	Protein-Modification
PWY-6363	CYCLITOLS-DEG	CYCLITOLS-DEG
PWY-7270	Methionine-Salvage // Super-Pathways	Amino-Acid-Biosynthesis // Super-Pathways
PWY-7102	Sesquiterpenoid-Degradation	SECONDARY-METABOLITE-DEGRADATION
PWY-5464	Energy-Metabolism // Super-Pathways	Energy-Metabolism // Super-Pathways
PWY-5827	SESQUITERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6233	Jasmonates-Biosynthesis	HORMONE-SYN
PWY-1782	Indole-3-Acetate-Inactivation // Super-Pathways	Inactivation // Super-Pathways
PWY-7080	QUINONE-SYN	AROMATIC-COMPOUNDS-BIOSYN
PWY-5704	Urea-Degradation	AMINE-DEG
PWY-8250	O-Antigen-Biosynthesis	Carbohydrates-Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways
CRNFORCAT-PWY	Creatinine-Degradation	AMINE-DEG
PWY-5027	Phylloquinone-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis
PWY-8408	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6352	Phospholipid-Biosynthesis	Lipid-Biosynthesis
PWY-7667	Antibiotic-Biosynthesis // CYCLOPEPTIDES	Other-biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7884	Protein-Modification	Protein-Modification
PWY-7393	C40-Carotenoids-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Super-Pathways
PROPFERM-PWY	Acetate-Formation // Amino-Acid-Fermentation // Fermentation-to-propanoate // Super-Pathways	Energy-Metabolism // Super-Pathways
